#{"t_start": 1775585549.7328336, "env_id": "None"}
r,l,t
13.0,10,20.892391
13.0,10,20.916153
13.0,10,20.945011
13.0,10,20.969902
13.0,10,20.994076
13.0,10,21.020295
13.0,10,21.051999
13.0,10,21.07789
13.0,10,21.105739
13.0,10,21.133113
11.0,10,21.164066
13.0,10,21.187857
13.0,10,21.212875
13.0,10,21.235587
11.0,10,21.267946
13.0,10,21.295794
13.0,10,21.321677
10.0,10,21.349447
11.0,10,21.384215
13.0,10,21.409246
13.0,10,21.438865
13.0,10,21.464209
13.0,10,21.496654
13.0,10,21.526172
13.0,10,21.555594
10.0,10,21.580908
13.0,10,21.611448
13.0,10,21.640978
11.0,10,21.666828
10.0,10,21.694207
13.0,10,21.728789
13.0,10,21.760097
13.0,10,21.782258
13.0,10,21.81115
13.0,10,21.845322
13.0,10,21.875766
13.0,10,21.901634
11.0,10,21.927768
10.0,10,21.96212
13.0,10,21.993894
13.0,10,22.023399
11.0,10,22.049254
13.0,10,22.082212
13.0,10,22.111473
11.0,10,22.139992
13.0,10,22.166037
13.0,10,22.196978
13.0,10,22.226262
9.0,10,22.253163
13.0,10,22.277717
13.0,10,22.306288
13.0,10,22.334611
13.0,10,22.360098
13.0,10,22.38631
10.0,10,22.422005
13.0,10,22.451696
13.0,10,22.481008
13.0,10,22.508631
13.0,10,22.541965
13.0,10,22.566247
13.0,10,22.592129
10.0,10,22.617959
13.0,10,22.649674
13.0,10,22.677993
13.0,10,22.707218
13.0,10,22.734113
13.0,10,22.767646
11.0,10,22.796476
13.0,10,22.821816
13.0,10,22.85429
13.0,10,22.88996
13.0,10,22.916416
10.0,10,22.945537
13.0,10,22.972543
13.0,10,23.005796
13.0,10,23.031957
13.0,10,23.060478
13.0,10,23.090043
11.0,10,23.12186
10.0,10,23.149432
13.0,10,23.177095
13.0,10,23.199012
13.0,10,23.228218
10.0,10,23.255754
10.0,10,23.280856
13.0,10,23.310085
13.0,10,23.337264
13.0,10,23.365409
13.0,10,23.390165
13.0,10,23.416333
13.0,10,23.450235
13.0,10,23.480476
13.0,10,23.506912
13.0,10,23.534282
13.0,10,23.565394
13.0,10,23.603557
13.0,10,23.668342
13.0,10,23.695116
13.0,10,23.728502
13.0,10,23.760229
13.0,10,23.784572
13.0,10,23.809694
10.0,10,23.839007
8.0,10,23.868344
13.0,10,23.903789
13.0,10,23.934497
11.0,10,23.965848
13.0,10,23.993364
13.0,10,24.027679
13.0,10,24.056003
13.0,10,24.084686
10.0,10,24.110977
13.0,10,24.137444
13.0,10,24.165346
13.0,10,24.197863
10.0,10,24.222567
